country,kwci,L2_norm,youtube_views,trends_interest,country_name
VN,65.0,100.0,48318940,7.1,베트남
AR,54.35,6.25,8542060,7.8,아르헨티나
TH,51.37,0.0,15850208,7.9,태국
US,51.08,0.0,20846704,16.8,미국
FR,48.93,0.0,17105154,7.1,프랑스
JP,44.21,12.5,7168915,6.4,일본
AE,40.76,0.0,270305649,10.9,UAE
MY,38.93,31.25,201759572,16.6,말레이시아
BR,35.35,12.5,7827598,7.4,브라질
TR,31.55,0.0,19418167,4.0,터키
CN,30.42,25.0,0,20.2,중국
ID,29.62,12.5,27250774,8.4,인도네시아
GB,21.93,0.0,29293219,9.1,영국
IN,20.39,0.0,60307031,7.6,인도
ZA,17.56,0.0,106315721,6.5,남아공
