country,genre,survey_score,kf_score,survey_source,youtube_views,youtube_matched_videos,youtube_error,youtube_source,trends_interest,trends_source,kf_count,kf_source,export_usd,customs_source,survey_norm,youtube_norm,trends_norm,L2_norm,wa,wb,wg,L3_norm,L1_norm,dsi,genre_weight,weighted_dsi
US,kpop,72,78,sample_baseline,19760919,76,,youtube_api,23.0,trends_api,51,kf_api,,,55.55555555555556,7.357746815383148,45.0,0.0,0.4,0.35,0.25,36.04743360760632,,14.41897344304253,0.1228,1.7706499388056227
US,kvideo,55,78,sample_baseline,779703,4,,youtube_api,5.0,trends_api,51,kf_api,,,52.77777777777778,67.30977744781505,16.666666666666664,70.96774193548387,0.4,0.35,0.25,48.83619988451304,,62.11512511509554,0.1287,7.994216602312796
US,kgame,64,78,sample_baseline,123721,3,,youtube_api,30.0,trends_api,51,kf_api,,,70.0,4.125925757947646,44.827586206896555,70.96774193548387,0.4,0.35,0.25,40.650970567005814,,58.84103338809265,0.1067,6.278338262509486
US,kwebtoon,52,78,sample_baseline,0,0,search_http_429,youtube_api,9.0,trends_api,51,kf_api,,,38.46153846153847,0.0,30.434782608695656,70.96774193548387,0.4,0.35,0.25,22.9933110367893,,51.77796957600604,0.0615,3.1843451289243716
US,kfood,42,78,sample_baseline,118856,1,,youtube_api,9.0,trends_api,51,kf_api,0.0,customs_api,44.44444444444444,4.261437177360775,42.10526315789473,70.96774193548387,0.4,0.35,0.25,29.795596579327736,50.0,52.24944189651071,0.1677,8.762231406044846
US,kbeauty,55,78,sample_baseline,63505,1,,youtube_api,30.0,trends_api,51,kf_api,0.0,customs_api,51.35135135135135,7.9737777537815955,93.33333333333333,70.96774193548387,0.4,0.35,0.25,46.664696087697436,50.0,55.62326179818465,0.2165,12.042436179306977
US,kfashion,40,78,sample_baseline,0,0,search_http_429,youtube_api,25.0,trends_api,51,kf_api,0.0,customs_api,51.85185185185185,50.0,91.66666666666666,70.96774193548387,0.4,0.35,0.25,61.157407407407405,50.0,58.52180406212664,0.1401,8.198904749103942
US,ktourism,38,78,sample_baseline,0,0,search_http_429,youtube_api,3.0,trends_api,51,kf_api,120000.0,sample_kto,45.45454545454545,50.0,60.0,70.96774193548387,0.4,0.35,0.25,50.68181818181819,38.983050847457626,50.91821164073761,0.056,2.8514198518813063
CN,kpop,64,60,sample_baseline,0,0,http_400,youtube_api_error,27.0,trends_api,33,kf_api,,,33.33333333333333,0.0,55.00000000000001,25.0,0.4,0.6,0.0,13.333333333333332,,20.333333333333332,0.1228,2.4969333333333332
CN,kvideo,58,60,sample_baseline,0,0,http_400,youtube_api_error,16.0,trends_api,33,kf_api,,,61.111111111111114,0.0,62.5,12.903225806451612,0.4,0.6,0.0,24.444444444444446,,17.519713261648747,0.1287,2.254787096774194
CN,kgame,55,60,sample_baseline,0,0,http_400,youtube_api_error,62.0,trends_api,33,kf_api,,,25.0,0.0,100.0,12.903225806451612,0.4,0.6,0.0,10.0,,11.741935483870968,0.1067,1.2528645161290324
CN,kwebtoon,56,60,sample_baseline,0,0,http_400,youtube_api_error,11.0,trends_api,33,kf_api,,,53.84615384615385,0.0,39.130434782608695,12.903225806451612,0.4,0.6,0.0,21.53846153846154,,16.357320099255585,0.0615,1.0059751861042185
CN,kfood,49,60,sample_baseline,0,0,http_400,youtube_api_error,4.0,trends_api,33,kf_api,0.0,customs_api,70.37037037037037,0.0,15.789473684210526,12.903225806451612,0.4,0.6,0.0,28.14814814814815,50.0,34.500597371565114,0.1677,5.785750179211469
