country,genre,youtube_views,youtube_matched_videos,youtube_error,source
US,kpop,8064561,9,,youtube_api
US,kvideo,38250,1,,youtube_api
US,kgame,14685757,8,,youtube_search_fallback
US,kwebtoon,12939989,8,,youtube_search_fallback
US,kfood,138602896,8,,youtube_search_fallback
US,kbeauty,43989835,8,,youtube_search_fallback
US,kfashion,22851498,8,,youtube_search_fallback
US,ktourism,2788319,8,,youtube_search_fallback
CN,kpop,0,0,http_400,youtube_api_error
CN,kvideo,0,0,http_400,youtube_api_error
CN,kgame,0,0,http_400,youtube_api_error
CN,kwebtoon,0,0,http_400,youtube_api_error
CN,kfood,0,0,http_400,youtube_api_error
CN,kbeauty,0,0,http_400,youtube_api_error
CN,kfashion,0,0,http_400,youtube_api_error
CN,ktourism,0,0,http_400,youtube_api_error
JP,kpop,3445657,15,,youtube_api
JP,kvideo,290060,1,,youtube_api
JP,kgame,112437,1,,youtube_api
JP,kwebtoon,0,0,search_http_429,youtube_api
JP,kfood,35043951,8,,youtube_search_fallback
JP,kbeauty,40603150,8,,youtube_search_fallback
JP,kfashion,40648948,8,,youtube_search_fallback
JP,ktourism,3808519,8,,youtube_search_fallback
VN,kpop,34761310,21,,youtube_api
VN,kvideo,0,0,search_http_429,youtube_api
VN,kgame,2523602,2,,youtube_api
VN,kwebtoon,32616924,8,,youtube_search_fallback
VN,kfood,757055,1,,youtube_api
VN,kbeauty,0,0,search_http_429,youtube_api
VN,kfashion,0,0,search_http_429,youtube_api
VN,ktourism,0,0,search_http_429,youtube_api
TH,kpop,1641886,13,,youtube_api
TH,kvideo,0,0,search_http_429,youtube_api
TH,kgame,0,0,search_http_429,youtube_api
TH,kwebtoon,32616924,8,,youtube_search_fallback
TH,kfood,152025,2,,youtube_api
TH,kbeauty,0,0,search_http_429,youtube_api
TH,kfashion,0,0,search_http_429,youtube_api
TH,ktourism,0,0,search_http_429,youtube_api
ID,kpop,1389359,12,,youtube_api
ID,kvideo,0,0,search_http_429,youtube_api
ID,kgame,418692,1,,youtube_api
ID,kwebtoon,0,0,search_http_429,youtube_api
ID,kfood,974983,3,,youtube_api
ID,kbeauty,39251660,8,,youtube_search_fallback
ID,kfashion,0,0,search_http_429,youtube_api
ID,ktourism,0,0,search_http_429,youtube_api
IN,kpop,31471175,22,,youtube_api
IN,kvideo,26665842,8,,youtube_search_fallback
IN,kgame,0,0,search_http_429,youtube_api
IN,kwebtoon,0,0,search_http_429,youtube_api
IN,kfood,0,0,search_http_429,youtube_api
IN,kbeauty,0,0,search_http_429,youtube_api
IN,kfashion,0,0,search_http_429,youtube_api
IN,ktourism,0,0,search_http_429,youtube_api
MY,kpop,106027063,21,,youtube_api
MY,kvideo,0,0,search_http_429,youtube_api
MY,kgame,0,0,search_http_429,youtube_api
MY,kwebtoon,0,0,search_http_429,youtube_api
MY,kfood,885503,2,,youtube_api
MY,kbeauty,391147,1,,youtube_api
MY,kfashion,22272531,8,,youtube_search_fallback
MY,ktourism,0,0,search_http_429,youtube_api
FR,kpop,4502254,24,,youtube_api
FR,kvideo,532156,1,,youtube_api
FR,kgame,0,0,search_http_429,youtube_api
FR,kwebtoon,0,0,search_http_429,youtube_api
FR,kfood,27268,1,,youtube_api
FR,kbeauty,54613014,8,,youtube_search_fallback
FR,kfashion,21958862,8,,youtube_search_fallback
FR,ktourism,0,0,search_http_429,youtube_api
