country,genre,export_usd,customs_error,source
US,ktourism,120000.0,,sample_kto
CN,ktourism,300000.0,,sample_kto
JP,ktourism,250000.0,,sample_kto
VN,ktourism,50000.0,,sample_kto
TH,ktourism,40000.0,,sample_kto
ID,ktourism,35000.0,,sample_kto
IN,ktourism,30000.0,,sample_kto
MY,ktourism,30000.0,,sample_kto
FR,ktourism,25000.0,,sample_kto
GB,ktourism,25000.0,,sample_kto
BR,ktourism,15000.0,,sample_kto
AR,ktourism,8000.0,,sample_kto
AE,ktourism,6000.0,,sample_kto
TR,ktourism,7000.0,,sample_kto
ZA,ktourism,5000.0,,sample_kto
