country,genre,trends_interest,source
US,kpop,23.0,trends_api
CN,kpop,27.0,trends_api
JP,kpop,7.0,trends_api
VN,kpop,8.0,trends_api
TH,kpop,5.0,trends_api
ID,kpop,13.0,trends_api
IN,kpop,12.0,trends_api
MY,kpop,10.0,trends_api
FR,kpop,17.0,trends_api
GB,kpop,9.0,trends_api
BR,kpop,45.0,trends_api
AR,kpop,43.0,trends_api
AE,kpop,11.0,trends_api
TR,kpop,6.0,trends_api
ZA,kpop,8.0,trends_api
US,kvideo,5.0,trends_api
CN,kvideo,16.0,trends_api
JP,kvideo,2.0,trends_api
VN,kvideo,3.0,trends_api
TH,kvideo,4.0,trends_api
ID,kvideo,5.0,trends_api
IN,kvideo,13.0,trends_api
MY,kvideo,25.0,trends_api
FR,kvideo,2.0,trends_api
GB,kvideo,3.0,trends_api
BR,kvideo,1.0,trends_api
AR,kvideo,1.0,trends_api
AE,kvideo,11.0,trends_api
TR,kvideo,2.0,trends_api
ZA,kvideo,3.0,trends_api
US,kgame,30.0,trends_api
CN,kgame,62.0,trends_api
JP,kgame,13.0,trends_api
VN,kgame,15.0,trends_api
TH,kgame,10.0,trends_api
ID,kgame,8.0,trends_api
IN,kgame,12.0,trends_api
MY,kgame,26.0,trends_api
FR,kgame,5.0,trends_api
GB,kgame,10.0,trends_api
BR,kgame,4.0,trends_api
AR,kgame,5.0,trends_api
AE,kgame,15.0,trends_api
TR,kgame,4.0,trends_api
ZA,kgame,7.0,trends_api
US,kwebtoon,9.0,trends_api
CN,kwebtoon,11.0,trends_api
JP,kwebtoon,2.0,trends_api
VN,kwebtoon,8.0,trends_api
TH,kwebtoon,25.0,trends_api
ID,kwebtoon,25.0,trends_api
IN,kwebtoon,5.0,trends_api
MY,kwebtoon,17.0,trends_api
FR,kwebtoon,16.0,trends_api
GB,kwebtoon,4.0,trends_api
BR,kwebtoon,3.0,trends_api
AR,kwebtoon,4.0,trends_api
AE,kwebtoon,7.0,trends_api
TR,kwebtoon,11.0,trends_api
ZA,kwebtoon,4.0,trends_api
US,kfood,9.0,trends_api
CN,kfood,4.0,trends_api
JP,kfood,2.0,trends_api
VN,kfood,4.0,trends_api
TH,kfood,2.0,trends_api
ID,kfood,3.0,trends_api
IN,kfood,2.0,trends_api
MY,kfood,20.0,trends_api
FR,kfood,1.0,trends_api
GB,kfood,4.0,trends_api
BR,kfood,1.0,trends_api
AR,kfood,1.0,trends_api
AE,kfood,4.0,trends_api
TR,kfood,1.0,trends_api
ZA,kfood,2.0,trends_api
US,kbeauty,30.0,trends_api
CN,kbeauty,12.0,trends_api
JP,kbeauty,6.0,trends_api
VN,kbeauty,4.0,trends_api
TH,kbeauty,5.0,trends_api
ID,kbeauty,3.0,trends_api
IN,kbeauty,5.0,trends_api
MY,kbeauty,12.0,trends_api
FR,kbeauty,10.0,trends_api
GB,kbeauty,32.0,trends_api
BR,kbeauty,2.0,trends_api
AR,kbeauty,3.0,trends_api
AE,kbeauty,27.0,trends_api
TR,kbeauty,4.0,trends_api
ZA,kbeauty,21.0,trends_api
US,kfashion,25.0,trends_api
CN,kfashion,27.0,trends_api
JP,kfashion,14.0,trends_api
VN,kfashion,13.0,trends_api
TH,kfashion,10.0,trends_api
ID,kfashion,9.0,trends_api
IN,kfashion,11.0,trends_api
MY,kfashion,19.0,trends_api
FR,kfashion,5.0,trends_api
GB,kfashion,9.0,trends_api
BR,kfashion,3.0,trends_api
AR,kfashion,4.0,trends_api
AE,kfashion,10.0,trends_api
TR,kfashion,3.0,trends_api
ZA,kfashion,6.0,trends_api
US,ktourism,3.0,trends_api
CN,ktourism,3.0,trends_api
JP,ktourism,5.0,trends_api
VN,ktourism,2.0,trends_api
TH,ktourism,2.0,trends_api
ID,ktourism,1.0,trends_api
IN,ktourism,1.0,trends_api
MY,ktourism,4.0,trends_api
FR,ktourism,1.0,trends_api
GB,ktourism,2.0,trends_api
BR,ktourism,0.0,trends_api
AR,ktourism,1.0,trends_api
AE,ktourism,2.0,trends_api
TR,ktourism,1.0,trends_api
ZA,ktourism,1.0,trends_api
